"edges","entries", "contents"
0.000000,1.275005,1.275005
10.000000,1.128086,1.128086
20.000000,1.033647,1.033647
30.000000,0.998746,0.998746
40.000000,0.982373,0.982373
50.000000,0.971825,0.971825
60.000000,0.960044,0.960044
70.000000,0.956577,0.956577
80.000000,0.964557,0.964557
90.000000,0.997212,0.997212
100.000000,1.003509,1.003509
110.000000,1.010078,1.010078
120.000000,1.005442,1.005442
130.000000,1.008891,1.008891
140.000000,1.006873,1.006873
150.000000,1.003992,1.003992
160.000000,0.974443,0.974443
170.000000,0.969343,0.969343
180.000000,0.958005,0.958005
190.000000,0.967592,0.967592
200.000000,0.963933,0.963933
210.000000,0.936745,0.936745
220.000000,0.922443,0.922443
230.000000,0.932052,0.932052
240.000000,0.873161,0.873161
250.000000,0.871322,0.871322
Inf,0.0,0.0
