"edges","entries", "contents"
0.000000,1.267226,1.267226
10.000000,1.194701,1.194701
20.000000,1.114534,1.114534
30.000000,1.066293,1.066293
40.000000,1.045910,1.045910
50.000000,1.020664,1.020664
60.000000,0.995884,0.995884
70.000000,0.981145,0.981145
80.000000,0.971659,0.971659
90.000000,0.954295,0.954295
100.000000,0.918035,0.918035
110.000000,0.910966,0.910966
120.000000,0.885056,0.885056
130.000000,0.865336,0.865336
140.000000,0.845886,0.845886
150.000000,0.818978,0.818978
160.000000,0.842314,0.842314
170.000000,0.792787,0.792787
180.000000,0.814310,0.814310
190.000000,0.778747,0.778747
200.000000,0.772213,0.772213
210.000000,0.785384,0.785384
220.000000,0.748928,0.748928
230.000000,0.795666,0.795666
240.000000,0.742461,0.742461
250.000000,0.722867,0.722867
Inf,0.0,0.0
